transmit_tx,transmit_block,sprayed_in_block,sprayed_in_block_count,exec_b0_count,exec_b1_count,exec_b2_count,has_gatepass_within_2blocks,gatepass_block,gatepass_tx,gatepass_fee_eth,total_exec_b0_b2
0xe4887c4a6978a8e4a286874a0146354ef00d28619c5db70a7dad0863e66bb52d,38819294,0,0,0,1,0,1,38819295,0xaf24fc5151e7f908fdcd42af81f079372e08021b01b25b940f510e4e495d0d41,0.000001249102870074,1
0x1239bb8377f557e136e74847a2ad65aef15fcb30142d338b64f51297e8749430,38819895,1,1,1,0,1,0,,,,2
0xead6a1ba2bb8415f097802852752336134b9c96646548933903e0fd8d392acf1,38820015,1,1,1,0,0,0,,,,1
0x1e2187c92c66340f13ef79d4e779f7c43d333322e2468b71a9041c1243d26a8f,38820045,1,1,1,0,1,0,,,,2
0x325b29c51aac1b463007618c146cf57efb6d24c912f9f30b2e69c9f2a2c77ba9,38820210,0,0,0,1,0,0,,,,1
0x61d69b5c865ecfd51caeacb8b72c16174a6d98881a51a739074c1a68d3925758,38820270,1,1,1,0,0,0,,,,1
0x6f70c4731477b817005e005c37d9bfab9eba65144aad38dbb0616918678f2aad,38820645,0,0,0,1,0,1,38820646,0x65f7ef2414add9badbcd287c1d17437f132c75a3c664c0cdbc97c3affef7e2f9,0.00000125236104118,1
0x2ed3886c9f0a493e11637fb0530aa28b759ba996b40878ebcba3821a3372263d,38820916,0,0,0,1,0,0,,,,1
0xe29ec4c402125346bbadedb48a1966b0c84be9546ae2646b74b20264d1275ce2,38821216,1,1,1,0,0,0,,,,1
0x8863182a2d11f571e3f3085f4b02aa6ed2928674a3c3cac2177bf3e59c8c9782,38821831,0,0,0,0,1,1,38821833,0xe1500e4f0a01ce80508f9806e4e37cd8558bedc89dd5b2817c870924c15ab93a,0.000001254447575377,1
0x2184c9a49b2ee5f7e25991be78e2e3844fcc57d6615d9a222a3fc7a9f564af4c,38821951,0,0,0,1,0,0,,,,1
0x861da29c7b4785023e2534ae92c930b485d2aaad428783f092cf767517e7b203,38822102,0,0,0,1,0,1,38822103,0x47a303eb6b828901d693f17bc983a4d737c8a888495e4f1ef0d7bfe6dabbe495,0.000001254538527342,1
0x11c1619d369b374b84cdf42905b41241933b601dd1ea34303b1784af5abbaaba,38822162,1,1,1,0,0,1,38822162,0x22abc38dee97807b84e9fd6ac51822dccaaf5e0101dbd7dbc6aaf5ab96649870,0.000001253740490189,1
0xb8f076b9d81e65560e34d5825fae17b9704bd020d768c36b9ee19474dd3a3caf,38822777,0,0,0,0,0,0,,,,0
0x3ef80cc652d2a6f78a82da5bb8211f3d50eb01f3e860355c6500c5442e70f51c,38822927,0,0,0,1,0,0,,,,1
0x396ed40f485ee200bb4a0bd20f18a1d0c15923f04ef4edeec16115a7d78f8c81,38823362,1,1,1,0,1,1,38823364,0xdc8b5aa379514385e11ef19f6e5e8631c2579914471b9bdeb01c7571ed7be65e,0.00000124249565298,2
0xa9f258760cd581192c0a5473e9fa429829316c869fd2458efd3faec14e762689,38823482,0,0,0,1,0,1,38823483,0xe3b7a6e213cabfd5b2f5b4acbfa8ec909dbb3ba227ff093924adfcd14f91f5c9,0.000001244852404202,1
0xf322afea736b777bd58408ce4f5e703710b9891bfcb82941d6adec5287e6a1d2,38823617,0,0,0,1,0,1,38823618,0x0d32b74eba46e6b1b2a92df83679ea71296065ae4c3e8effeb0705ac48b5e1b1,0.000001248011628326,1
0xad1d30de02abb6523ec3a6a93595deecebfef0a2a9d07a34503ea050e6420f51,38824143,1,1,1,0,0,1,38824143,0x92b38fa88e09f676918f86dac97efef6dd99899584e57436c2a040db89a3c207,0.000001242559715693,1
0x430a33826146248ac6835a746ecb5d06dec00d8d4df71596a9695b993bc8fddc,38824248,1,1,1,0,0,0,,,,1
0xdd7307f19024ed2fd89b20cc4bdda8e0cd68a8bd7a294470f6093e1f96352cd5,38824593,0,0,0,1,0,1,38824594,0x0f630fcaae247f6fe1b73bf99fbd5d9c21703924661277e949fabb7d0a3645ab,0.000001271308809054,1
